cokey,chkey,texdesc,texcl
26573132,79300084,Loamy sand,Loamy sand
26573132,79300085,Sandy clay loam,Sandy clay loam
26573132,79300086,Sandy clay loam,Sandy clay loam
26573132,79300087,Sandy loam,Sandy loam
26402117,78771384,Loam,Loam
26402117,78771385,Clay loam,Clay loam
26402117,78771386,Sandy loam,Sandy loam
26402117,78771387,Sandy clay loam,Sandy clay loam
26402118,78771388,Sandy loam,Sandy loam
26402118,78771389,Sandy loam,Sandy loam
26402118,78771390,Sandy loam,Sandy loam
26402118,78771391,Fine sandy loam,Fine sandy loam
