cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26567877,325999,35,Muckalee,B/D,Poorly drained,1.0,79282826.0,15.0,163.0,9.0,0.1,67.9,12.5,1.43,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282839.0,0.0,10.0,92.0,0.1,85.8,4.9,1.56,1.9
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282840.0,10.0,33.0,28.0,0.13,81.3,15.4,1.6,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282842.0,33.0,61.0,9.0,0.18,66.0,25.0,1.6,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282841.0,61.0,102.0,9.0,0.1,66.0,25.0,1.78,0.25
26567880,326000,95,Irvington,C,Somewhat poorly drained,1.0,79282843.0,102.0,152.0,9.0,0.1,66.0,25.0,1.78,0.25
26567881,326001,100,Johnston,A/D,Very poorly drained,1.0,79282844.0,0.0,76.0,28.0,0.23,45.7,12.5,1.35,13.0
26567881,326001,100,Johnston,A/D,Very poorly drained,1.0,79282845.0,76.0,86.0,92.0,0.05,83.8,7.0,1.6,0.25
26567881,326001,100,Johnston,A/D,Very poorly drained,1.0,79282846.0,86.0,152.0,92.0,0.09,70.9,12.5,1.55,0.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282894.0,0.0,18.0,46.0,0.09,82.8,8.0,1.5,1.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282896.0,18.0,30.0,31.0,0.13,80.0,10.5,1.6,0.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282895.0,30.0,137.0,9.0,0.15,61.5,26.5,1.68,0.25
26567897,326009,80,Orangeburg,B,Well drained,3.0,79282897.0,137.0,203.0,9.0,0.11,53.5,32.5,1.68,0.25
