cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26543314,325617,85,Tifton,B,Well drained,3,79205886,102,127,2.7,0.09,64.2,27.9,1.68,0.12
26543314,325617,85,Tifton,B,Well drained,3,79205887,127,152,2.7,0.09,62.2,29.9,1.68,0.12
26543314,325617,85,Tifton,B,Well drained,3,79205883,152,165,2.7,0.09,56.6,35.4,1.47,0.1
26543314,325617,85,Tifton,B,Well drained,3,79205884,165,203,0.91,0.16,62.5,29.5,1.54,0.1
26546674,325758,45,Kinston,B/D,Poorly drained,1,79214971,0,20,9,0.18,39.5,24,1.42,3
26546674,325758,45,Kinston,B/D,Poorly drained,1,79214972,20,38,9,0.17,35,30,1.48,1
26546674,325758,45,Kinston,B/D,Poorly drained,1,79214973,38,84,28,0.13,68,12,1.44,2
26546674,325758,45,Kinston,B/D,Poorly drained,1,79214974,84,203,9,0.16,58.5,26.5,1.53,0.75
26546673,325758,35,Bibb,A/D,Poorly drained,1,79214970,0,8,28,0.17,63.9,8.5,1.48,2
26546673,325758,35,Bibb,A/D,Poorly drained,1,79214967,8,68,28,0.12,66.6,10,1.56,0.5
26546673,325758,35,Bibb,A/D,Poorly drained,1,79214968,68,114,28,0.13,70,10,1.48,2
26546673,325758,35,Bibb,A/D,Poorly drained,1,79214969,114,203,28,0.12,70,10,1.56,0.5
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1,79214750,0,15,9,0.2,39.8,22.5,1.45,2.5
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1,79214751,15,71,9,0.2,19.2,26.5,1.4,1.25
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1,79214752,71,152,9,0.2,19.2,26.5,1.4,1.25
26546623,325759,50,Chewacla,B/D,Somewhat poorly drained,1,79214749,152,178,23,0.12,41.1,22,1.4,2
26546621,325759,30,Chastain,C/D,Poorly drained,1,79214743,0,18,2.7,0.15,24,25,1.3,3.5
26546621,325759,30,Chastain,C/D,Poorly drained,1,79214744,18,122,0.9,0.14,5.5,47.5,1.4,2
26546621,325759,30,Chastain,C/D,Poorly drained,1,79214745,122,152,92,0.05,77.7,6,1.6,2
26546622,325759,15,Riverview,B,Well drained,1,79214746,0,15,9,0.2,43,18.5,1.45,1.25
26546622,325759,15,Riverview,B,Well drained,1,79214747,15,97,9,0.19,55.8,26.5,1.3,0.75
26546622,325759,15,Riverview,B,Well drained,1,79214748,97,152,28,0.09,66,11,1.35,0.75
26546625,325761,95,Clarendon,C,Moderately well drained,1,79214756,0,43,28,0.12,66.6,10,1.4,1.75
26546625,325761,95,Clarendon,C,Moderately well drained,1,79214757,43,102,9,0.13,55.8,26.5,1.5,0.25
26546625,325761,95,Clarendon,C,Moderately well drained,1,79214758,102,152,2.7,0.1,55.1,27.5,1.55,0.25
26546653,325763,80,Cowarts,C,Well drained,7,79214862,0,13,28,0.08,69.5,12.5,1.56,0.75
26546653,325763,80,Cowarts,C,Well drained,7,79214863,13,46,9,0.15,67,26.5,1.63,0.25
26546653,325763,80,Cowarts,C,Well drained,7,79214864,46,79,9,0.11,61,32.5,1.6,0.25
26546653,325763,80,Cowarts,C,Well drained,7,79214860,79,109,2.7,0.12,66,27.5,1.69,0.1
26546653,325763,80,Cowarts,C,Well drained,7,79214861,109,183,2,0.08,69.5,12.5,1.81,0.1
26546645,325764,80,Dothan,B,Well drained,1,79214819,0,30,28,0.08,85.7,5.3,1.58,0.25
26546645,325764,80,Dothan,B,Well drained,1,79214820,30,61,9,0.14,61.8,29.8,1.61,0.15
26546645,325764,80,Dothan,B,Well drained,1,79214821,61,86,9,0.14,61.8,29.8,1.61,0.15
26546645,325764,80,Dothan,B,Well drained,1,79214822,86,122,9,0.14,61.8,30,1.61,0.15
26546645,325764,80,Dothan,B,Well drained,1,79214823,122,165,2.7,0.09,58,34,1.67,0.1
26546646,325765,80,Dothan,B,Well drained,3,79214824,0,30,28,0.08,85.7,5.3,1.58,0.25
26546646,325765,80,Dothan,B,Well drained,3,79214825,30,61,9,0.14,61.8,29.8,1.61,0.15
26546646,325765,80,Dothan,B,Well drained,3,79214826,61,86,9,0.14,61.8,29.8,1.61,0.15
26546646,325765,80,Dothan,B,Well drained,3,79214827,86,122,9,0.14,61.8,30,1.61,0.15
26546646,325765,80,Dothan,B,Well drained,3,79214828,122,165,2.7,0.09,58,34,1.67,0.1
26546654,325766,80,Dothan,C,Well drained,7,79214865,0,30,28,0.08,85.7,5.3,1.45,0.25
26546654,325766,80,Dothan,C,Well drained,7,79214867,30,61,9,0.14,61.8,29.8,1.5,0.15
26546654,325766,80,Dothan,C,Well drained,7,79214868,61,86,9,0.14,61.8,29.8,1.5,0.15
26546654,325766,80,Dothan,C,Well drained,7,79214869,86,122,9,0.14,61.8,30,1.5,0.15
26546654,325766,80,Dothan,C,Well drained,7,79214866,122,165,2.7,0.1,58,34,1.58,0.1
26546666,325770,75,Faceville,B,Well drained,4,79214931,0,18,28,0.11,68,13,1.58,1.25
26546666,325770,75,Faceville,B,Well drained,4,79214930,18,46,9,0.16,48,40,1.55,0.25
26546666,325770,75,Faceville,B,Well drained,4,79214926,46,76,9,0.16,48,40,1.54,0.25
26546666,325770,75,Faceville,B,Well drained,4,79214927,76,107,9,0.16,48,40,1.54,0.25
26546666,325770,75,Faceville,B,Well drained,4,79214928,107,137,9,0.16,52,40,1.54,0.25
26546666,325770,75,Faceville,B,Well drained,4,79214929,137,203,9,0.16,52,42,1.54,0.25
26546655,325773,80,Fuquay,B,Well drained,3,79214875,0,25,92,0.07,85.7,5.3,1.59,1
26546655,325773,80,Fuquay,B,Well drained,3,79214870,25,56,92,0.07,87.2,6.1,1.65,0.15
26546655,325773,80,Fuquay,B,Well drained,3,79214871,56,71,92,0.07,87.2,6.1,1.65,0.15
26546655,325773,80,Fuquay,B,Well drained,3,79214872,71,91,14,0.14,81.3,15.4,1.64,0.15
26546655,325773,80,Fuquay,B,Well drained,3,79214873,91,109,9,0.12,61.8,29.8,1.66,0.15
26546655,325773,80,Fuquay,B,Well drained,3,79214874,109,165,2.7,0.12,61.8,29.8,1.68,0.15
26546670,325775,80,Grady,C/D,Poorly drained,1,79214950,0,15,9,0.13,67.2,17.5,1.54,2.5
26546670,325775,80,Grady,C/D,Poorly drained,1,79214951,15,102,0.9,0.14,17.1,55,1.36,0.25
26546670,325775,80,Grady,C/D,Poorly drained,1,79214949,102,165,0.9,0.12,47.7,50,1.54,0.25
26546658,325783,80,Lakeland,A,Excessively drained,13,79214885,0,10,92,0.07,93.3,2.2,1.66,0.75
26546658,325783,80,Lakeland,A,Excessively drained,13,79214886,10,64,92,0.05,94.1,2.3,1.64,0.25
26546658,325783,80,Lakeland,A,Excessively drained,13,79214887,64,152,92,0.05,94.1,2.3,1.64,0.25
26546658,325783,80,Lakeland,A,Excessively drained,13,79214888,152,203,92,0.05,94.1,2.3,1.64,0.25
26546659,325785,85,Lucy,B,Well drained,9,79214891,0,20,92,0.08,84.3,6.5,1.59,0.75
26546659,325785,85,Lucy,B,Well drained,9,79214892,20,61,92,0.08,84.3,6.5,1.65,0.25
26546659,325785,85,Lucy,B,Well drained,9,79214889,61,89,28,0.11,66.8,18,1.64,0.1
26546659,325785,85,Lucy,B,Well drained,9,79214890,89,178,9,0.13,53.5,32.5,1.58,0.1
26546649,325793,80,Orangeburg,B,Well drained,3,79214837,0,18,46,0.09,82.8,8,1.5,1.25
26546649,325793,80,Orangeburg,B,Well drained,3,79214839,18,30,31,0.13,80,10.5,1.6,0.25
26546649,325793,80,Orangeburg,B,Well drained,3,79214838,30,137,9,0.15,61.5,26.5,1.68,0.25
26546649,325793,80,Orangeburg,B,Well drained,3,79214840,137,203,9,0.11,53.5,32.5,1.68,0.25
26546656,325796,80,Orangeburg,B,Well drained,7,79214878,0,13,31,0.13,75,15,1.6,1.25
26546656,325796,80,Orangeburg,B,Well drained,7,79214879,13,30,31,0.13,75,15,1.6,0.25
26546656,325796,80,Orangeburg,B,Well drained,7,79214876,30,56,9,0.15,61.5,26.5,1.64,0.25
26546656,325796,80,Orangeburg,B,Well drained,7,79214877,56,203,9,0.11,53.5,32.5,1.6,0.25
26546635,325797,100,Rains,B/D,Poorly drained,1,79214785,0,38,28,0.12,67.9,12.5,1.45,3.5
26546635,325797,100,Rains,B/D,Poorly drained,1,79214786,38,102,9,0.13,55.8,26.5,1.45,0.75
26546635,325797,100,Rains,B/D,Poorly drained,1,79214787,102,165,9,0.13,53.9,29,1.4,0.75
26546635,325797,100,Rains,B/D,Poorly drained,1,79214788,165,175,9,0.13,55.5,30,1.45,0.75
26546641,325803,100,Susquehanna,D,Somewhat poorly drained,9,79214803,0,25,9,0.13,69,7,1.53,1.25
26546641,325803,100,Susquehanna,D,Somewhat poorly drained,9,79214804,25,165,0.21,0.18,23.3,47.5,1.38,0.25
26546651,325805,85,Tifton,B,Well drained,3,79214848,0,28,91.5,0.11,84.1,6.5,1.62,0.75
26546651,325805,85,Tifton,B,Well drained,3,79214849,28,56,28,0.17,70.5,19.5,1.6,0.5
26546651,325805,85,Tifton,B,Well drained,3,79214852,56,102,9,0.16,63.5,27,1.6,0.25
26546651,325805,85,Tifton,B,Well drained,3,79214853,102,127,2.7,0.09,64.2,27.9,1.68,0.12
26546651,325805,85,Tifton,B,Well drained,3,79214854,127,152,2.7,0.09,62.2,29.9,1.68,0.12
26546651,325805,85,Tifton,B,Well drained,3,79214850,152,165,2.7,0.09,56.6,35.4,1.47,0.1
26546651,325805,85,Tifton,B,Well drained,3,79214851,165,203,0.91,0.16,62.5,29.5,1.54,0.1
26546614,325810,100,Vaucluse,C,Well drained,15,79214727,0,20,92,0.06,84.9,6,1.45,0.75
26546614,325810,100,Vaucluse,C,Well drained,15,79214725,20,51,9,0.13,55.8,26.5,1.55,0.25
26546614,325810,100,Vaucluse,C,Well drained,15,79214728,51,152,2,0.06,54.1,31.5,1.85,0.25
26546614,325810,100,Vaucluse,C,Well drained,15,79214726,152,178,28,0.06,84.5,10,1.73,0.25
26566763,325887,100,Faceville,B,Well drained,4,79279445,0,13,92,0.08,67.3,12.5,1.53,1.25
26566763,325887,100,Faceville,B,Well drained,4,79279446,13,28,9,0.14,54.7,28,1.48,0.25
26566763,325887,100,Faceville,B,Well drained,4,79279447,28,183,9,0.15,47.8,45,1.43,0.25
26566764,325888,100,Faceville,B,Well drained,7,79279448,0,13,92,0.08,67.3,12.5,1.53,1.25
26566764,325888,100,Faceville,B,Well drained,7,79279449,13,28,9,0.14,54.7,28,1.48,0.25
26566764,325888,100,Faceville,B,Well drained,7,79279450,28,183,9,0.15,47.8,45,1.43,0.25
26566767,325891,100,Faceville,B,Well drained,7,79279457,0,23,9,0.12,58.2,24,1.5,0.75
26566767,325891,100,Faceville,B,Well drained,7,79279458,23,38,9,0.14,54.7,28,1.48,0.25
26566767,325891,100,Faceville,B,Well drained,7,79279459,38,213,9,0.15,47.8,45,1.43,0.25
