agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no,geometry
USGS,313934084101101,12M043,GW,313934.91,841011.14,31.6596972,-84.1697611,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.1697611 31.6596972)
USGS,313934084102101,12M025,GW,313945.0,841021.0,31.6626724,-84.1724086,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,223.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,YYNYNYNN,S400FLORDN,120FLRDU,,,,,0451307700,POINT (-84.1724086 31.6626724)
USGS,313935084021001,13M055,GW,313935.0,840210.0,31.65989614,-84.03601619,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,224.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,197603.0,19861006.0,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,,150.0,,D,0451300200,POINT (-84.03601619 31.65989614)
USGS,313937084101201,12M042,GW,313937.94,841012.54,31.66053889,-84.17015,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,,,,,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,U,,S400FLORDN,120FLRDU,,,,,2503-00700,POINT (-84.17015 31.66053889)
USGS,313939084105101,12M050,GW,313939.27,841051.96,31.66090833,-84.1811,D,H,NAD83,NAD83,13,13,13177,US,,LEESBURG,24000.0,216.0,N,5.0,NAVD88,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720105.0,,,,EST,Y,C,,S100SECSLP,125CLTN,C,662.0,692.0,O,2503-00700,POINT (-84.1811 31.66090833)
USGS,313940084051101,13M087,GW,313939.74,840511.2,31.66103889,-84.0864444,N,5,NAD83,NAD83,13,13,13177,US,,Albany NE,24000.0,241.0,N,5.0,NAVD88,3130007,,,,199612.0,20210517.0,,,EST,Y,C,,S100SECSLP,124CLBR,C,445.0,544.0,D,,POINT (-84.0864444 31.66103889)
USGS,313940084172501,11M028,GW,313940.0,841725.0,31.6612824,-84.2901892,M,F,NAD27,NAD83,13,13,13177,US,,SASSER,24000.0,280.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19920416.0,19920423.0,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,,,,,045130205,POINT (-84.2901892 31.6612824)
USGS,313942084013101,13M057,GW,313942.0,840131.0,31.66184067,-84.0251826,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,222.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1978.0,19861006.0,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,,163.0,,D,0451300200,POINT (-84.0251826 31.66184067)
USGS,313944084090001,12M010,GW,313944.0,840901.0,31.66239489,-84.15018579,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,247.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19750101.0,,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,,185.0,185.0,,0451306700,POINT (-84.15018579 31.66239489)
USGS,313949084060701,13M072,GW,313949.0,840607.0,31.66378426,-84.1018512,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,200.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1900.0,19861007.0,,,EST,Y,C,YYYNNNNN,S400FLORDN,120FLRDU,C,125.0,,D,0451307900,POINT (-84.1018512 31.66378426)
USGS,313953084060601,13M069,GW,313953.0,840606.0,31.66489536,-84.1015734,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,205.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19851004.0,,,,EST,Y,C,YYNYNNNN,S400FLORDN,120FLRDU,C,135.0,135.0,D,0451307900,POINT (-84.1015734 31.66489536)
USGS,313956084060501,13M048,GW,313956.0,840605.0,31.66572868,-84.1012957,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,200.0,M,5.0,NGVD29,3130007,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19801110.0,19851121.0,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRDU,C,135.0,135.0,D,0451307900,POINT (-84.1012957 31.66572868)
USGS,313958084010801,13M073,GW,313958.0,840108.0,31.6662851,-84.0187935,M,F,NAD27,NAD83,13,13,13177,US,,ALBANY NE,24000.0,202.0,M,5.0,NGVD29,3130006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19860613.0,19861007.0,,,EST,Y,C,YYNYNNNN,S400FLORDN,120FLRDU,C,100.0,,D,0451307900,POINT (-84.0187935 31.6662851)
USGS,313959084162901,11M043,GW,313959.44,841628.94,31.6665111,-84.2747056,N,5,NAD83,NAD83,13,13,13177,US,,Sasser,24000.0,270.0,N,5.0,NAVD88,3130007,,,,20071101.0,20210517.0,,,EST,Y,C,,S400FLORDN,120FLRDL,C,420.0,420.0,D,,POINT (-84.2747056 31.6665111)
USGS,314000084122801,12M008,GW,314000.0,841229.0,31.66683864,-84.207965,M,F,NAD27,NAD83,13,13,13177,US,,LEESBURG,24000.0,240.0,M,5.0,NGVD29,3130007,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,1964.0,19790322.0,,,EST,Y,C,YYNNNYNN,S100SECSLP,125CLTN,,680.0,,D,0451300200,POINT (-84.207965 31.66683864)
